PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
18707,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",22,Descontinuado,EUD
18707,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",0,Descontinuado,EUD
18707,1004,52493,FLORATTA DES COL MY BLUE 75ml,54,Descontinuado,BOT
18707,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
18707,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",0,Descontinuado,EUD
18707,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
18707,1078,-,MATCH SRUM CAP POS QUIMICA 50ml,31,Descontinuado,BOT
18707,1128,-,GLAM BALM NANO 3D GOIABA 3g,1,Descontinuado,EUD
18707,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,16,Descontinuado,EUD
18707,1160,-,GLAM BLUSH STCK MALVA 5g,17,Descontinuado,EUD
18707,1192,-,GLAM BLUSH STCK GINGER 5g,24,Descontinuado,EUD
18707,1204,-,GLAM GEL LIMP DEMAQ SK/PERF 100g,2,Descontinuado,EUD
18707,12084,-,ESTJ EGEO DOLCE NAM/22,0,Descontinuado,BOT
18707,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,5,Descontinuado,EUD
18707,1246,-,GLAM ESMLT AZUL CARBONO 7ml,0,Descontinuado,EUD
18707,1249,-,"GLAM LAP GEL P/OLH PRETO 1,2g",6,Descontinuado,EUD
18707,12597,-,"SOUL BALM LIQ JEL FRESH MOR/TENT 7,5ml",4,Descontinuado,EUD
18707,1278,-,"GLAM MASC CILIO VOL INFINITY 8,5g",3,Descontinuado,EUD
18707,12961,87807,EUD CR DES HID CPO INDUL 250g,26,Descontinuado,EUD
18707,12965,86749,EUD CR DES HID CPO RGE 250g V2,50,Descontinuado,EUD
18707,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",24,Descontinuado,EUD
18707,1633,-,NSPA COND MORANGO RUBY 300ml,1,Descontinuado,BOT
18707,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
18707,1676,87051,NSPA OL MULTIF AMEIXA 85ml,6,Descontinuado,BOT
18707,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,0,Descontinuado,BOT
18707,1685,-,NSPA OL MULTIF ROSE 85ml,3,Descontinuado,BOT
18707,17552,-,DEM/V CARBON DES COL 4ml,5,Descontinuado,EUD
18707,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
18707,19811,-,EUD CR DES HID CPO UNIQ 250g V2,55,Descontinuado,EUD
18707,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
18707,19815,86538,SOUL MASC CILIO VOL BOMB 10g,0,Descontinuado,EUD
18707,23291,-,CARBON ESPUMA BARBEAR TURBO 190g 200ml,0,Descontinuado,EUD
18707,23528,-,NSPA OLEO DES CPO HOT B/TAM 250ml,4,Descontinuado,BOT
18707,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
18707,25458,48310,FLORATTA DES COL BLUE 75ml,3885,Descontinuado,BOT
18707,25682,-,MAKE B NUTRIDETOX C NOTURNO SKIN 2x15g,1,Descontinuado,BOT
18707,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
18707,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,17,Descontinuado,BOT
18707,29528,-,MAKE B SOMB TRIO P/SOBRANC,1,Descontinuado,BOT
