PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
21557,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,10
21557,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,C,14
21557,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
21557,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
21557,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,E,0
21557,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,E,0
21557,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,E,0
21557,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,2
21557,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,11
21557,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,7
21557,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,B,0
21557,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,B,0
21557,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,C,10
21557,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,2
21557,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,4
21557,1697,NSPA OL MULTIF QUINOA 85ml,BOT,E,6
21557,1762,CBEM CARTCH PRES BEIJINHO,BOT,E,0
21557,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,E,0
21557,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,E,2
21557,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,E,5
21557,1790,MAKE B BAS LIQ MATE SALICYLIC 190 30g,BOT,E,0
21557,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,E,2
21557,1808,MAKE B BAS LIQ MATE SALICYLIC 200 30g,BOT,E,3
21557,1862,MAKE B BAS LIQ MATE SALICYLIC 290 30g,BOT,E,0
21557,19685,ELYSEE EDP 50ml,BOT,E,0
21557,19734,THATY DES COL BOTICOLL 100ML,BOT,A,53
21557,19814,EUD CR DES HID CPO DLX 250g V4,EUD,E,0
21557,19815,SOUL MASC CILIO VOL BOMB 10g,EUD,E,0
21557,2094,"INTENSE BAT CREM POP BEGE AMEND 3,6g",BOT,C,0
21557,2100,"INTENSE BAT CREM POP ROSA 3,6g",BOT,B,67
21557,2150,"INTENSE BAT CREM POP MAGENTA 3,6g",BOT,B,0
21557,2186,"INTENSE BAT MATE POP BEGE CAST 4,0g",BOT,B,0
