PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
22430,10019,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",EUD,E,0
22430,10020,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",EUD,E,0
22430,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,86
22430,1005,DEM FLORATTA DES COL MY BLUE 4ml,BOT,E,0
22430,10140,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",EUD,E,0
22430,10282,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",EUD,C,0
22430,10297,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",EUD,E,0
22430,1062,NIINA SECRETS DES COL 100ml,EUD,C,123
22430,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,C,128
22430,1159,GLAM ILUM STCK FAC GOLDEN 5g,EUD,C,10
22430,1160,GLAM BLUSH STCK MALVA 5g,EUD,C,0
22430,1192,GLAM BLUSH STCK GINGER 5g,EUD,C,14
22430,1204,GLAM GEL LIMP DEMAQ SK/PERF 100g,EUD,C,0
22430,1245,GLAM ESMLT AMEIXA PROFUNDO 7ml,EUD,C,2
22430,1246,GLAM ESMLT AZUL CARBONO 7ml,EUD,C,5
22430,1278,"GLAM MASC CILIO VOL INFINITY 8,5g",EUD,C,6
22430,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,C,17
22430,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
22430,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
22430,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,B,64
22430,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,C,52
22430,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,C,15
22430,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,79
22430,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,48
22430,14482,FLAC LILY EDP 4ml VE,BOT,E,0
22430,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,10
22430,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,C,5
22430,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,29
22430,1641,SIAGE SHAMP HAIR/PLAS 250ml,EUD,A,151
22430,16438,FLAC GLAMOUR S/B DES COL 4ml VE,BOT,E,0
