PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
23491,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,36
23491,1062,NIINA SECRETS DES COL 100ml,EUD,C,105
23491,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,C,26
23491,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,C,2
23491,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,0
23491,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,0
23491,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,B,58
23491,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,C,27
23491,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,C,23
23491,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,35
23491,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,62
23491,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,C,39
23491,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,C,13
23491,1640,NSPA LOC ANTIOX DES HID CPO M/RUBY 200ml,BOT,C,7
23491,1641,SIAGE SHAMP HAIR/PLAS 250ml,EUD,A,99
23491,1644,SIAGE MASC CAP HIALUR HAIR/PLAS 250g,EUD,A,59
23491,1650,REF NSPA LOC ANTIOX D H CPO M/RUBY 350ml,BOT,C,63
23491,1672,NSPA LOC ANTIOX D H CPO M/RUBY 100ml PRM,BOT,E,19
23491,1676,NSPA OL MULTIF AMEIXA 85ml,BOT,E,8
23491,1680,NSPA OL MULTIF AMEIXA NEGRA 85ml,BOT,E,5
23491,1697,NSPA OL MULTIF QUINOA 85ml,BOT,C,1
23491,1786,MAKE B BAS LIQ MATE SALICYLIC 150 30g,BOT,E,1
23491,1787,MAKE B BAS LIQ MATE SALICYLIC 120 30g,BOT,E,1
23491,1788,MAKE B BAS LIQ MATE SALICYLIC 100 30g,BOT,E,1
23491,1789,MAKE B BAS LIQ MATE SALICYLIC 220 30g,BOT,E,1
23491,1790,MAKE B BAS LIQ MATE SALICYLIC 190 30g,BOT,C,2
23491,1806,MAKE B BAS LIQ MATE SALICYLIC 180 30g,BOT,E,1
23491,1808,MAKE B BAS LIQ MATE SALICYLIC 200 30g,BOT,E,0
23491,1861,MAKE B BAS LIQ MATE SALICYLIC 320 30g,BOT,E,1
23491,1862,MAKE B BAS LIQ MATE SALICYLIC 290 30g,BOT,C,2
23491,19734,THATY DES COL BOTICOLL 100ML,BOT,B,480
23491,19814,EUD CR DES HID CPO DLX 250g V4,EUD,E,0
23491,19815,SOUL MASC CILIO VOL BOMB 10g,EUD,B,22
23491,19816,SIAGE SHAMP CICA THERAPY 250ml,EUD,B,12
23491,2094,"INTENSE BAT CREM POP BEGE AMEND 3,6g",BOT,C,0
23491,2100,"INTENSE BAT CREM POP ROSA 3,6g",BOT,C,8
23491,2150,"INTENSE BAT CREM POP MAGENTA 3,6g",BOT,C,0
23491,2186,"INTENSE BAT MATE POP BEGE CAST 4,0g",BOT,C,0
23491,2192,INTENSE BAT MAT INTENSE POP VERM 4g,BOT,C,0
23491,2215,INTENSE BAT MAT INTENSE POP ROS/TELH 4g,BOT,C,0
23491,22248,CECITA DES COL BOTICOLL 100ML,BOT,B,466
23491,22249,FREE DES COL BOTICOLL 100ml V4,BOT,A,84
23491,2239,INTENSE BAS LIQ MATE CAMUFL POP 100 20ml,BOT,E,2
23491,2240,INTENSE BAS LIQ MATE CAMUFL POP 120 20ml,BOT,C,1
23491,2252,INTENSE BAS LIQ MATE CAMUFL POP 140 20ml,BOT,C,1
23491,2256,INTENSE BAS LIQ MATE CAMUFL POP 160 20ml,BOT,C,1
23491,2257,INTENSE BAS LIQ MATE CAMUFL POP 190 20ml,BOT,C,1
23491,2258,INTENSE BAS LIQ MATE CAMUFL POP 210 20ml,BOT,C,2
23491,2259,INTENSE BAS LIQ MATE CAMUFL POP 230 20ml,BOT,C,4
23491,2260,INTENSE BAS LIQ MATE CAMUFL POP 240 20ml,BOT,C,3
23491,2274,INTENSE BAS LIQ MATE CAMUFL POP 260 20ml,BOT,C,2
23491,2276,INTENSE BAS LIQ MATE CAMUFL POP 300 20ml,BOT,C,1
23491,2285,INTENSE BAS LIQ MATE CAMUFL POP 320 20ml,BOT,E,2
23491,2286,INTENSE BAS LIQ MATE CAMUFL POP 330 20ml,BOT,E,2
23491,23743,DEM FLAC ELYSEE EDP 4ml VE,BOT,E,0
23491,24825,FLAC LINDA DES COL 4ml VE,BOT,E,8
23491,2483,"INTENSE LAP P/OLHO POP PRETO 1,1g",BOT,C,8
23491,25458,FLORATTA DES COL BLUE 75ml,BOT,E,239
23491,27707,BOTICOLL CONNEXION DES COL 100ml V2,BOT,A,113
23491,27858,MAKE B LAP RETR P/OLH PRET PCK,BOT,C,5
23491,27993,MAKE B MASC CILIO VOL EXTREMO,BOT,E,1
23491,29046,BOTICOLL CONNEX DES BDY SPR 100ml V6 PCK,BOT,C,9
23491,29226,ELYSEE CREM HID DES CPO ACETINADO 250g,BOT,E,14
23491,30192,MALBEC DES COL X 100ml,BOT,E,0
23491,30199,SIAGE SHAMP HID MICLR 250ml,EUD,B,64
23491,30201,MALBEC DES COL X 10ml PRM,BOT,E,26
23491,30203,SIAGE MASC CAP HIDRATACAO MICELAR 250g,EUD,B,75
23491,30207,SIAGE LEAV CAP HIDRATACAO MICELAR 100ml,EUD,C,73
23491,30247,EGEO DES COL PINA BLAST 90ml,BOT,B,82
23491,30302,SIAGE COND HIDRATACAO MICELAR V2 200ml,EUD,B,111
23491,30363,EGEO DES COL CHERRY BLAST 90ml,BOT,B,0
23491,3219,OUI EDP FLEURS ETERNELLES LHYSOPE 75ML,BOT,E,1
23491,33424,ESTJ FLORATTA FLOWERS SORT REG/22,BOT,B,12
23491,33427,LILY GELEIA DES HID CORPORAL GLOW 250g,BOT,B,28
23491,3517,CAIXA P INST 2021 VERDE ECONOMICA,BOT,E,0
23491,3554,CAIXA G INST 2021 VERDE ECONOMICA,BOT,E,14
23491,36226,ESTJ GLAMOUR SEC BL REG/22,BOT,C,1
23491,36485,ESTJ COFFEE W/SEDUC REG/22,BOT,C,0
23491,36488,REF MAKE B PO COMP FAC HYAL 50 8g,BOT,C,0
23491,36637,REF MAKE B PO COMP FAC HYAL 60 8g,BOT,E,1
23491,36826,REF MAKE B PO COMP FAC HYAL 70 8g,BOT,E,5
23491,37693,REF MAKE B PO COMP FAC HYAL 10 8g,BOT,C,0
23491,37694,REF MAKE B PO COMP FAC HYAL 20 8g,BOT,E,1
23491,37695,REF MAKE B PO COMP FAC HYAL 25 8g,BOT,E,1
23491,37696,REF MAKE B PO COMP FAC HYAL 15 8g,BOT,E,1
23491,37699,REF MAKE B PO COMP FAC HYAL 30 8g,BOT,C,0
23491,40121,ESTJ ZAAD REG/22,BOT,C,0
23491,40220,ESTJ CBEM NUVEM REG/22,BOT,C,2
23491,40268,ESTJ NSPA AMEIXA REG/22,BOT,C,1
23491,40387,ESTJ MALBEC CLUB REG/22,BOT,C,0
23491,42112,CAPINHA ABELINHA EM SILICONE,BOT,E,1
23491,43956,MATCH PENTE P/ CACHOS PP,BOT,E,1
23491,4443,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,BOT,E,3
23491,4473,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,BOT,E,0
23491,44742,FITA DE VEDACAO VOID DEVOLUCAO,BOT,E,0
23491,4480,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,BOT,E,11
23491,44803,CBEM CESTINHO METAL C/A,BOT,C,1
23491,4481,BOTIK CREM HID FAC FIRM AC/POLIGL 50g,BOT,C,0
23491,4482,BOTIK LOC HID ANTIOL ACI POL FAC 110ml,BOT,C,2
23491,44865,BOTI BANHEIRINHA TRANSP PS,BOT,E,0
23491,4509,BOTIK CR CON OLH RED/RUG AC/H CAF V2 15g,BOT,E,0
23491,4510,REF BOTIK CR FAC FIRM AC/HIALUR 40g,BOT,E,7
23491,4520,BOTIK GEL CR FAC FIRM AC/HIALUR 40g,BOT,C,13
23491,4522,REF BOTIK GEL CR FAC FIRM AC/HIAL 40g V2,BOT,C,7
23491,4539,BOTIK CR FAC FIRMADOR AC/HIAL 40g V2,BOT,E,10
23491,45557,BOTI APONTADOR CHUMBO,BOT,C,7
23491,45627,INTENSE CJ PINC MINI FAC C/4,BOT,E,1
23491,45629,INTENSE KIT ESPNJ C/2 UND,BOT,C,0
23491,46555,BOTI DIFUSOR ELETRONICO ABS,BOT,C,0
23491,46593,DR BOTICA MOCHI REG NLON,BOT,C,0
23491,46645,ZAAD NECESS PES NAT/21 VDA,BOT,E,1
23491,46885,O.U.i SACOLA P 2021,BOT,E,148
23491,46886,O.U.I SACOLA M 2021,BOT,E,97
23491,46887,O.U.I SACOLA G 2021,BOT,E,50
23491,46898,ZAAD EDP EXPEDITION 95ml,BOT,B,1040
23491,46900,DEM ZAAD EDP EXPEDITION 4ml,BOT,E,0
23491,46931,ESTJ BOTICOLL SORTIDO REG/22,BOT,C,4
23491,46933,QDB LOC DES HID CPO REPAIR 400ml,QDB,E,14
23491,46936,QDB LOC DES HID CPO REPAIR 200ml,QDB,E,16
23491,46938,QDB CREM HID MAO REPAIR 30g,QDB,C,23
23491,47144,CBEM DES ANTIT AER PROTECT/BTY 90g/150ml,BOT,C,2
23491,47145,CBEM DES ANTIT ROLL PROTECT/BEAUTY 55ml,BOT,C,1
23491,47146,CBEM DES ANTIT AER INV PROTECT 90g/150ml,BOT,C,8
23491,47147,CBEM DES ROLL INV PROTECT 55ml,BOT,C,4
23491,47148,CBEM DES ANT AER CLIN ULT/PROT 90g/150ml,BOT,E,2
23491,47149,MEN DES ANT AER CLIN ULTR/PROT 90g/150ml,BOT,C,1
23491,47150,MEN DES ANTIT AER COOL PROTECT 90g/150ml,BOT,C,0
23491,47151,CBEM DES ANTIT AER S/ALUM 90g/150ml,BOT,C,1
