PDV,SKU,SKU_PARA,DESCRIÇÃO,ESTOQUE ATUAL,FASES DO PRODUTO,MARCA
22055,10019,-,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",0,Descontinuado,EUD
22055,10020,-,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",0,Descontinuado,EUD
22055,1004,52493,FLORATTA DES COL MY BLUE 75ml,104,Descontinuado,BOT
22055,10140,-,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",0,Descontinuado,EUD
22055,10282,-,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",0,Descontinuado,EUD
22055,10297,-,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",0,Descontinuado,EUD
22055,1078,-,MATCH SRUM CAP POS QUIMICA 50ml,1,Descontinuado,BOT
22055,1159,-,GLAM ILUM STCK FAC GOLDEN 5g,1,Descontinuado,EUD
22055,1160,-,GLAM BLUSH STCK MALVA 5g,7,Descontinuado,EUD
22055,1192,-,GLAM BLUSH STCK GINGER 5g,5,Descontinuado,EUD
22055,1245,-,GLAM ESMLT AMEIXA PROFUNDO 7ml,0,Descontinuado,EUD
22055,1246,-,GLAM ESMLT AZUL CARBONO 7ML,0,Descontinuado,EUD
22055,1249,-,"GLAM LAP GEL P/OLH PRETO 1,2g",3,Descontinuado,EUD
22055,12597,-,"SOUL BALM LIQ JEL FRESH MOR/TENT 7,5ml",1,Descontinuado,EUD
22055,12961,87807,EUD CR DES HID CPO INDUL 250g,0,Descontinuado,EUD
22055,12965,86749,EUD CR DES HID CPO RGE 250g V2,6,Descontinuado,EUD
22055,1454,-,"GLAM PLT SOMBRA ESSENTIAL 5,85g",1,Descontinuado,EUD
22055,1657,57737,DEM NSPA DES COL BDY SPLSH M/RUBY 4ml,0,Descontinuado,BOT
22055,1676,87051,NSPA OL MULTIF AMEIXA 85ml,7,Descontinuado,BOT
22055,1680,87050,NSPA OL MULTIF AMEIXA NEGRA 85ml,6,Descontinuado,BOT
22055,1703,-,NSPA OL CPO JASMIM SAMBAC 85ml,1,Descontinuado,BOT
22055,1728,-,SIAGE BSTR CAP ACIDCOL HAIR/PLAS 100ml,10,Descontinuado,EUD
22055,17552,-,DEM/V CARBON DES COL 4ml,0,Descontinuado,EUD
22055,19685,53518,ELYSEE EDP 50ml,0,Descontinuado,BOT
22055,19811,-,EUD CR DES HID CPO UNIQ 250g V2,7,Descontinuado,EUD
22055,19814,-,EUD CR DES HID CPO DLX 250g V4,0,Descontinuado,EUD
22055,19815,86538,SOUL MASC CILIO VOL BOMB 10g,44,Descontinuado,EUD
22055,22023,-,INTENSE DES COL OOPSS 50ml,11,Descontinuado,BOT
22055,23291,-,CARBON ESPUMA BARBEAR TURBO 190G 200ML,4,Descontinuado,EUD
22055,23304,-,CARBON POS BARBA GEL CREM TURBO 75g,10,Descontinuado,EUD
22055,23743,88212,DEM FLAC ELYSEE EDP 4ml VE,0,Descontinuado,BOT
22055,25458,48310,FLORATTA DES COL BLUE 75ml,195,Descontinuado,BOT
22055,27861,55505,MAKE B LAP P/OLH GEL ULTRABLACK,0,Descontinuado,BOT
22055,29226,85796,ELYSEE CREM HID DES CPO ACETINADO 250g,13,Descontinuado,BOT
22055,29807,-,MAKE B SPR FIX MAQ ROSTO 75ml/40g,1,Descontinuado,BOT
22055,30008,-,QDB BASE LIQ LEVANTA TUDO COR 10N 30ml,1,Descontinuado,QDB
22055,30009,-,QDB BASE LIQ LEVANTA TUDO COR 03Q 30ml,1,Descontinuado,QDB
22055,30010,-,QDB BASE LIQ LEVANTA TUDO COR 09Q 30ml,1,Descontinuado,QDB
22055,30018,-,QDB BASE LIQ LEVANTA TUDO COR 15Q 30ML,1,Descontinuado,QDB
22055,30019,-,QDB BASE LIQ LEVANTA TUDO 01F 30ml,1,Descontinuado,QDB
22055,30178,-,GLAM ILUM STCK FAC LUMINOUS 5g,1,Descontinuado,EUD
22055,30192,54101,MALBEC DES COL X 100ml,143,Descontinuado,BOT
22055,30226,-,MATCH MASC CAP SCIENCE CRESC 50ml PRM,6,Descontinuado,BOT
22055,3220,-,OUI EDP FLEURS ETERN LA JONQUILLE 75ML,6,Descontinuado,BOT
22055,33359,-,SACOLA P INST/21 VERDE STD MOD C/200,33,Descontinuado,BOT
22055,34600,-,BOT VAPORIZADOR DES COL BRANCO C/10,9,Descontinuado,BOT
22055,36486,58528,ESTJ FLORATTA BLUE REG/22,0,Descontinuado,BOT
22055,37476,-,QDB PINCEL BASE,2,Descontinuado,QDB
22055,37493,-,QDB APONTADOR LAPIS DUPLO,2,Descontinuado,QDB
22055,37516,-,QDB PINCEL SOMBRA,1,Descontinuado,QDB
22055,38739,-,NSPA FRASCO AROMAT AMB BRANCO,5,Descontinuado,BOT
22055,39437,-,QDB PINCEL SOBRANCELHA DUPLO,2,Descontinuado,QDB
22055,40092,-,MAKE B PINCEL RETRATIL LABIOS,1,Descontinuado,BOT
22055,40969,-,QDB PINCEL SUPERACAB PELE PERFEITA,2,Descontinuado,QDB
22055,41449,-,INTENSE PORTA BATOM PINK EM PAPEL,4,Descontinuado,BOT
22055,41624,-,MAKE B PINCEL CONTORNO FACIAL,1,Descontinuado,BOT
22055,41625,-,MAKE B PINCEL DUPLO OLHOS CHANFRADO,1,Descontinuado,BOT
22055,41995,-,MAKE B.  PORTA PINCEIS EM PU,2,Descontinuado,BOT
22055,43352,-,INTENSE TOALHA DEMAQ BYE MAKE POLIEST,1,Descontinuado,BOT
22055,43358,-,DR BOTICA NECESS PVC S/ALC,1,Descontinuado,BOT
22055,43939,-,MATCH ESCV PARA DESEMBARACAR ABS,1,Descontinuado,BOT
22055,43951,-,SOPHIE ESCV DESEMBARACO ABS,2,Descontinuado,BOT
22055,43955,-,MATCH PENTE P/VOL PA,2,Descontinuado,BOT
22055,43965,-,BOTI KIT CUIDADOS PESSOAIS ACO INOX,2,Descontinuado,BOT
22055,44407,-,INTENSE MINI ESPONJAS MAQUIAGEM,2,Descontinuado,BOT
22055,44411,-,MAKE B PINC CONTORNO ANGULAR,1,Descontinuado,BOT
22055,4443,-,BOTIK ACQ GEL HID ANTIOL AC MAND/SAL 50g,2,Descontinuado,BOT
22055,44580,-,MAKE B PINC ESPIRAL P/PELE,2,Descontinuado,BOT
22055,4473,87491,BOTIK GEL LIMP FAC MCLR AC MAND/SAL 150g,2,Descontinuado,BOT
22055,44764,-,SOPHIE CJ PINC C/2 UN,3,Descontinuado,BOT
22055,4480,87484,BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50g,8,Descontinuado,BOT
22055,44805,-,MAKE B NECESS POMPOM LISTRAS PU S/A,1,Descontinuado,BOT
22055,44864,-,INTENSE NECESS PRATICA PES S/A,1,Descontinuado,BOT
22055,44865,56841,BOTI BANHEIRINHA TRANSP PS,0,Descontinuado,BOT
22055,44962,-,BOTI BABY NECESSAIRE ZIPER PVC S/A,1,Descontinuado,BOT
22055,44967,-,BOTI BABY SABONETEIRA PP,2,Descontinuado,BOT
22055,44968,-,SOPHIE SABONETEIRA PP,3,Descontinuado,BOT
22055,4510,87483,REF BOTIK CR FAC FIRM AC/HIALUR 40g,4,Descontinuado,BOT
22055,4539,87482,BOTIK CR FAC FIRMADOR AC/HIAL 40G V2,4,Descontinuado,BOT
22055,45544,-,NSPA ESPNJ VERDE KONJAC,1,Descontinuado,BOT
22055,45548,-,MAKE B BOLSA UNLIMITED MESH PES C/A,2,Descontinuado,BOT
22055,45549,-,MAKE B NECESS POCHETE PES UNLIMITED C/A,1,Descontinuado,BOT
22055,45551,-,MAKE B TAPETE LIMP PINCEIS SILICONE,1,Descontinuado,BOT
22055,45553,-,INTENSE TOALHA DEMAQ ROXA PES,1,Descontinuado,BOT
22055,45585,-,BOTI CADERNO AMOR POR ONDE FOR,2,Descontinuado,BOT
22055,45587,-,BOTI NECESS VIAGEM PES C/A,1,Descontinuado,BOT
22055,45684,-,BOTI BOLSA ANFORA PU P/MALETA VD,2,Descontinuado,BOT
22055,46467,-,CBEM NECESS BRCA BOA NOITE S/A PES,1,Descontinuado,BOT
22055,46470,-,BOTI MASCARA PROT MALHA PRETA M,1,Descontinuado,BOT
22055,46554,-,BOTI ECOBAG LONITA SUSTENTAVEL/NYLON,1,Descontinuado,BOT
22055,4689,-,DEM INSTANCE DEO COL HARMONIA 4ml,0,Descontinuado,EUD
22055,46895,-,BOTI MASSAG CPO PP,2,Descontinuado,BOT
22055,46933,-,QDB LOC DES HID CPO REPAIR 400ml,30,Descontinuado,QDB
22055,46936,-,QDB LOC DES HID CPO REPAIR 200ml,16,Descontinuado,QDB
22055,46938,-,QDB CREM HID MAO REPAIR 30g,4,Descontinuado,QDB
22055,46948,-,ARBO SHW GEL CAB/CPO 75G,6,Descontinuado,BOT
22055,47167,-,SIAGE SHAMP CBT/FRIZ 250ml RPCK,56,Descontinuado,EUD
22055,47168,-,SIAGE COND CBT/FRIZ 200ml RPCK,75,Descontinuado,EUD
22055,47169,-,SIAGE MASC CAP CBT/FRIZ 250g RPCK,54,Descontinuado,EUD
22055,47170,-,SIAGE CR DEFRIZANTE CBT/FRIZ 100ml RPCK,16,Descontinuado,EUD
22055,47171,-,SIAGE SPR ANTI FRIZZ CBT/FRIZ 50ml RPCK,20,Descontinuado,EUD
22055,47174,-,EGEO CARTCH PRES CHOC,1,Descontinuado,BOT
22055,47192,-,INSTANCE SHAMP ABAC/OLIV 300ml,0,Descontinuado,EUD
22055,47193,-,INSTANCE COND ABAC/OLIV 300ml,0,Descontinuado,EUD
22055,47194,-,INSTANCE MASC CAP ABAC/OLIV 200g,0,Descontinuado,EUD
22055,47235,50395,BOTI SUN PROT SOL CPO FPS 30 200g,0,Descontinuado,BOT
22055,47270,-,NSPA AMEIXA LATA ORGANIZADORA,5,Descontinuado,BOT
22055,47298,-,SOUL ESPONJA MAQUIAGEM PU,3,Descontinuado,EUD
22055,47299,-,NSPA COND SOLIDO 75G,4,Descontinuado,BOT
22055,47300,-,NSPA SHAMP SLD AMEI 90g,5,Descontinuado,BOT
22055,47319,-,DEM VOLPE DES COL MASTER 4ml,1,Descontinuado,EUD
22055,47381,-,NEO CR HID FAC NOT MULTIEFF D/ETG 30g,0,Descontinuado,EUD
22055,47383,-,NEO D/ETG SRUM ANTIID FAC MULTIEFF 30ml,2,Descontinuado,EUD
22055,47402,-,SIAGE LEAV CAP SPR RESG/IMED 100ml,0,Descontinuado,EUD
22055,47403,54360,SIAGE SHAMP RECONST/FIOS 400ml,0,Descontinuado,EUD
22055,47412,-,INTENSE NECESSAIRE PU S/ALC,0,Descontinuado,BOT
22055,47486,-,REFIL OUI EDP LA VILLETTE 75ml,3,Descontinuado,BOT
22055,47552,88022,BOTICA 214 EDP FOUG AROM VER/FIRENZ 90ml,34,Descontinuado,BOT
22055,47594,47963,BOTI SUN PROT CPO FPS 50 200G,0,Descontinuado,BOT
22055,47597,86035,INSTANCE DES ANTIT AER FR/VERM 150ml,28,Descontinuado,EUD
22055,47630,88019,BOTICA 214 EDP DARK MINT 90ml V2,0,Descontinuado,BOT
22055,47635,-,BOTICA 214 CR AC DES HID CPO V/FIR 200g,0,Descontinuado,BOT
22055,47649,-,INSTANCE DES HID CPO CER/AMEND 200ml,2,Descontinuado,EUD
22055,47653,-,INSTANCE OL DES HID CPO CER/AMEND 110ml,3,Descontinuado,EUD
22055,47777,-,BOTI BABY SAB LIQ CAB/PES NAN/NEN 200ml,5,Descontinuado,BOT
22055,47815,-,INSTANCE DES ANTIT AER CHA VDE/ROM 150ml,30,Descontinuado,EUD
22055,47817,-,INSTANCE DES ANTIT CREM S/PERF 80g,8,Descontinuado,EUD
22055,47818,-,INSTANCE DES ANTIT AER S/PERF 150ml,11,Descontinuado,EUD
22055,47819,-,DIVA DES ANTIT AER 150ml,0,Descontinuado,EUD
22055,47820,-,CLUB 6 DES ANTIT AER CASSINO 150ml,9,Descontinuado,EUD
22055,47842,-,EUD DES ANTIT AER 90g/150ml V2,0,Descontinuado,EUD
22055,47869,-,MATCH LEAV CAP SCIENCE RECONS 150ML,1,Descontinuado,BOT
22055,47907,58643,MEN CR POS BARBA AZULEN 40g V10,3,Descontinuado,BOT
22055,47916,-,MATCH CR MODEL ONDUL RESP/CACH 290ml V2,1,Descontinuado,BOT
22055,47951,58348,ZAAD EDP MONDO 95ML V3,0,Descontinuado,BOT
22055,47960,57731,BOTI SUN PROT CPO SPR ACQ/FL FPS50 180ml,0,Descontinuado,BOT
22055,47972,-,INTENSE ILUM LIQ MULTIF ROSE 8ml V3,1,Descontinuado,BOT
22055,47973,-,INTENSE ILUM LIQ MULTIF DOURADO 8ML V3,1,Descontinuado,BOT
22055,47976,52817,CBEM SAB LIQ INT R/ALG 200ml,3,Descontinuado,BOT
22055,48020,57675,NSPA OLEO ACUC ESF CPO AMEI 200g V3,0,Descontinuado,BOT
22055,48040,-,IMPRESSION EDP LEGEND 100ml,0,Descontinuado,EUD
22055,48100,59193,CBEM COND FEIRA BANANA 170ml,2,Descontinuado,BOT
22055,48116,-,REF INSTANCE DES HID CPO CER/AMEN 350ml,1,Descontinuado,EUD
22055,48118,-,EUD CREM DES HID CPO ROYAL 250g,0,Descontinuado,EUD
22055,48124,-,DEM EUD EDP ROYAL 4ml,0,Descontinuado,EUD
22055,48130,84387,MALBEC DES COL 100ml V5,99,Descontinuado,BOT
22055,48132,-,NIINA SCRT ESPNJ MAQUIAGEM,2,Descontinuado,EUD
22055,48136,48307,FLORATTA DES COL F/SECRET 75ml V2,397,Descontinuado,BOT
22055,48139,49252,COFFEE DES COL WOMAN SEDUC 100ml V5,95,Descontinuado,BOT
22055,48144,85606,INSENSATEZ DES COL 100ml V3,0,Descontinuado,BOT
22055,48200,59029,MALBEC CR P/BARB SENSIT CLUB 100G,5,Descontinuado,BOT
22055,48255,-,NSPA LOC DES HID CPO F/AMEI 200ml V5,13,Descontinuado,BOT
22055,48269,-,INTENSE BASE LIQ SUPFIX 60 25ml V3,1,Descontinuado,BOT
22055,48270,-,INTENSE BASE LIQ SUPFIX 75 25ml V3,1,Descontinuado,BOT
22055,48276,-,INTENSE BASE LIQ SUPFIX 80 25ml V3,1,Descontinuado,BOT
22055,48277,-,INTENSE BASE LIQ SUPFIX 15 25ml V3,1,Descontinuado,BOT
22055,48283,-,NSPA SAB LIQ CPO AMEI/NEG 200ML V2,1,Descontinuado,BOT
22055,48285,-,NSPA SAB LIQ CPO AMEI 200ml V3,1,Descontinuado,BOT
22055,48291,-,NSPA DES COL BDY SPLSH F/AMEI 200ml V2,2,Descontinuado,BOT
22055,48321,54363,REF SIAGE COND RECONST/FIOS 400ml,9,Descontinuado,EUD
22055,48347,59494,DEM ELYSEE EDP BLANC 4ml V2,0,Descontinuado,BOT
22055,48362,-,MALBEC DES COL 50ml V4,0,Descontinuado,BOT
22055,48363,59585,MALBEC DES COL 100ml PRM V4,0,Descontinuado,BOT
22055,48367,-,ZAAD DES ANTIT AER MONDO 75g V3,6,Descontinuado,BOT
22055,48370,-,REF QUASAR BDY DES SPR 100ml V8,2,Descontinuado,BOT
22055,48476,-,INSTANCE LOC DES HID CPO KARITE 200ml V3,2,Descontinuado,EUD
22055,48485,-,NSPA CACHEPO VERMELHO PU/PES,1,Descontinuado,BOT
22055,48545,49890,CBEM LOC DES HID CPO NUVEM 200ml V2,3,Descontinuado,BOT
22055,48547,49884,CBEM LOC DES HID CPO L/MEL 400ml V7,13,Descontinuado,BOT
22055,48560,-,FLORATTA DES BDY SPR MY BLUE 100ml,6,Descontinuado,BOT
22055,48573,-,EGEO DES COL DOLCE COLORS 90ML V2,5,Descontinuado,BOT
22055,48613,-,CBEM CR DES HID CPO DELEITE 250g V2,1,Descontinuado,BOT
22055,48614,55427,CBEM CREM HID MAO DELEITE 50g V2,0,Descontinuado,BOT
22055,48615,-,CBEM LOC DES HID CPO L/MEL 200ml V2,1,Descontinuado,BOT
22055,48619,49887,REF CBEM LOC HID DES CPO NUVEM 400ml V2,0,Descontinuado,BOT
22055,48621,52507,FLORATTA EDP FLEUR D ECLIPSE 75ml,0,Descontinuado,BOT
22055,48628,49888,CBEM LOC DES HID CPO NUVEM 400ml V2,0,Descontinuado,BOT
22055,48632,-,DREAM DES COL SPLSH AMOR NO AR 350ml V2,0,Descontinuado,BOT
22055,48635,48313,FLORATTA DES COL ROSE 75ml V3,235,Descontinuado,BOT
22055,48654,-,FLORATTA DES ANTIT AER BLUE 75g V10,2,Descontinuado,BOT
22055,48663,-,BOTICOLL ANNI DES COL SWEETY 100ml V2,3,Descontinuado,BOT
22055,48669,-,BOTICOLL CECITA DES COL BLOSSOM 100ml V2,2,Descontinuado,BOT
22055,48675,59516,REF NSPA LOC DES H CPO AMEI/NEG 400ml V2,0,Descontinuado,BOT
22055,48676,59517,REF NSPA LOC DES HID CPO AMEI 400ml V2,123,Descontinuado,BOT
22055,48677,-,REF NSPA SAB LIQ MAO AMEI 400ml V2,1,Descontinuado,BOT
22055,48684,-,MALBEC ESPUM P/ BARB 200ml V4,0,Descontinuado,BOT
22055,48700,-,EGEO DES COL HIT 90ml V2,39,Descontinuado,BOT
22055,48701,-,EGEO DES COL BEAT 90ml V2,63,Descontinuado,BOT
22055,48720,-,EUD BABY COND 200ml,14,Descontinuado,EUD
22055,48732,-,CBEM ALCOOL GEL R/ALG 30g V2,7,Descontinuado,BOT
22055,48736,49048,CBEM CR HID MAO NUVEM 50g V3,0,Descontinuado,BOT
22055,48740,49886,REF CBEM LOC HID DESC CPO L/MEL 400ml V5,8,Descontinuado,BOT
22055,48742,51161,CBEM DES ANT AER R/ALG 75g/125ml V2,1,Descontinuado,BOT
22055,48744,-,DR BOTICA COND POC BRILHO 200ml V2,8,Descontinuado,BOT
22055,48773,-,NSPA SHAMP QUINOA 300ml V3,2,Descontinuado,BOT
