PDV,SKU,DESCRIÇÃO,MARCA,CURVA,ESTOQUE_ATUAL
22053,10019,"GLAM BAT MICR/PLAS SCARLET ABSOLUTO 3,3g",EUD,E,0
22053,10020,"GLAM BAT MICR/PLAS NUDE ROSADO 3,3g",EUD,E,0
22053,1004,FLORATTA DES COL MY BLUE 75ml,BOT,E,33
22053,1005,DEM FLORATTA DES COL MY BLUE 4ml,BOT,E,0
22053,10140,"GLAM BAT MICR/PLAS MARSALA SUPREMO 3,3g",EUD,E,0
22053,10282,"GLAM BAT MICR/PLAS VERMELHO RUBY 3,3g",EUD,C,3
22053,10297,"GLAM BAT MICR/PLAS ROSE DELICADO 3,3g",EUD,E,1
22053,1062,NIINA SECRETS DES COL 100ml,EUD,C,29
22053,1073,NIINA SECRETS LOC DES HID CPO 200ml,EUD,C,22
22053,1113,COMB AROMATER STRESS,BOT,E,0
22053,1114,COMB AROMATER ENERG,BOT,E,0
22053,1116,COMB AROMATER CALMA,BOT,E,0
22053,1125,COMB EGEO DOLCE MAES NANICO,BOT,E,0
22053,1128,GLAM BALM NANO 3D GOIABA 3g,EUD,E,2
22053,1159,GLAM ILUM STCK FAC GOLDEN 5g,EUD,C,4
22053,1160,GLAM BLUSH STCK MALVA 5g,EUD,C,5
22053,1192,GLAM BLUSH STCK GINGER 5g,EUD,C,8
22053,1204,GLAM GEL LIMP DEMAQ SK/PERF 100g,EUD,C,1
22053,1296,PMPCK THE BLEND DES ANTIT AER 2x75g,BOT,C,0
22053,12961,EUD CR DES HID CPO INDUL 250g,EUD,E,18
22053,12965,EUD CR DES HID CPO RGE 250g V2,EUD,E,12
22053,12967,LA VICT CR ACET DES HID CPO 250g V2,EUD,B,32
22053,1302,PMPCK LILY DES ANTIT AER 2X75G,BOT,B,7
22053,1314,PMPCK ZAAD DES ANTIT AER 2X75G,BOT,C,1
22053,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,B,5
22053,1428,NSPA LOC ANTIOX DES HID CPO M/RUBY 400ml,BOT,C,11
22053,1454,"GLAM PLT SOMBRA ESSENTIAL 5,85g",EUD,E,0
22053,1478,COMB SIAGE REMOVE OLEOSIDADE SHAMP/COND,EUD,E,0
22053,1630,NSPA DES COL BDY SPLSH M/RUBY 200ml,BOT,B,11
22053,1634,NSPA GEL ESF CPO MORANGO RUBY 175G,BOT,C,3
22053,1638,COMB SIAGE MEN POMAD/SHAMP FORCA,EUD,E,0
22053,1639,COMB SIAGE MEN POMAD/SHAMP ANTICASPA,EUD,E,0
